"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"30299","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",44,5,333326.81,371793.06,-5.938943,54.576824,"",17
"30352","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",65,5,331862.26,370006.72,-5.962376,54.561171,"",15
"30368","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",49,5,331679.78,370105.01,-5.965151,54.562101,"",13
"30380","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",63,6,333703.96,371368.58,-5.933308,54.572914,"",17
"30391","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",54,5,335099.53,371205.88,-5.911819,54.571083,"",13
"30395","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",76,6,332158.42,369715.48,-5.957932,54.558479,"",21
"30398","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",59,5,331659.74,376779.53,-5.962471,54.622026,"",16
"30426","StreetTree","Lime","Tilla x europaea","Mature","Mature","Paved Brick Paviour","Low","Poor",67,6,335013.61,370955.8,-5.913261,54.568861,"",22
"30427","StreetTree","Lime","Tilla x europaea","Mature","Mature","Paved Brick Paviour","Low","Poor",47,6,335025.17,370948.63,-5.913086,54.568793,"",14
"30433","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",44,6,337886.96,374285.26,-5.867307,54.597975,"",14
"30453","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",58,4,332524.61,376573.96,-5.949184,54.619954,"",17
"30455","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",49,6,337036.93,373967.11,-5.880598,54.59535,"",14
"30456","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",54,8,336939,373806.87,-5.882186,54.593938,"",16
"30460","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",49,5,332476.51,376648.11,-5.949894,54.620632,"",14
"30478","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",58,4,336954.05,373778.4,-5.881967,54.593678,"",13
"30504","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",60,4,333580.63,376986.33,-5.93266,54.623378,"",14
"30508","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",56,6,333976.79,372037.04,-5.928788,54.578843,"",11
"30511","StreetTree","Lime","Tilla cordata","Mature","Mature","Tarmac","Low","Poor",40,5,333326.25,377068.42,-5.936558,54.624182,"",11
"30512","StreetTree","Maple","Acer pseudoplatanus","Mature","Mature","Tarmac","Low","Poor",60,5,333796.7,377657.11,-5.929011,54.629343,"",16
"30527","StreetTree","Ash","Fraxinus excelsior","Mature","Mature","Grass","Low","Poor",56,6,337978.77,375739.37,-5.865205,54.611003,"",16
"30537","StreetTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Tarmac","Low","Poor",76,6,331495.5,373193.53,-5.966618,54.589875,"",12
"30543","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",71,7,334796.76,372111.1,-5.916082,54.57929,"",17
"30556","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",45,5,333311.73,372161.3,-5.93901,54.580134,"",16
"30602","ParkTree","Plane","Platanus x acerifolia","Mature","Mature","Grass","Low","Poor",94,13,333357.27,376539.99,-5.936318,54.61943,"88",19
"30605","ParkTree","Chestnut","Aesculus hippocastanum","Fully Mature","Fully Mature","Grass","Low","Poor",98,9,333530.09,376501.47,-5.933662,54.619039,"113",21
"30607","ParkTree","Pine","Pinus nigra (type)","Young","Juvenile/Young","Shrubs","Low","Poor",28,5,331552.03,374881.68,-5.964988,54.605016,"360",9
"30612","ParkTree","Maple","Acer platanoides","Young Mature","Semi-Mature","Grass","Low","Poor",44,7,330873.14,370916.75,-5.977251,54.569597,"331",14
"30619","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Woodland","Low","Poor",56,5,330370.76,375776.4,-5.982858,54.613354,"747",20
"30624","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",67,5,331643.15,368406.08,-5.966476,54.546858,"2305",14
"30633","StreetTree","Lime","Tilla x europaea","Mature","Mature","Woodland","N/A","Poor",63,4,333310.4,379452.76,-5.935719,54.645591,"",17
"30644","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Shrubs","Normal","Poor",49,3,332558.69,378633.89,-5.947725,54.638438,"1530",21
"30671","ParkTree","Oak","Quercus robur","Mature","Mature","Grass","Low","Poor",88,10,334717.26,372521.89,-5.917123,54.582999,"894",21
"30711","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",75,5,330007.7,368147.91,-5.991846,54.544962,"2944",21
"30712","ParkTree","Oak","Quercus robur","Mature","Mature","Woodland","Low","Poor",83,9,329981.18,368121.46,-5.992267,54.544732,"2888",27
"30717","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Bare Ground","Normal","Poor",89,9,332668,380893.95,-5.94501,54.658698,"2771",18
"30718","ParkTree","Lime","Tilla cordata","Mature","Mature","Grass","Low","Poor",78,10,332318.02,373865.78,-5.9536,54.595696,"22",20
"30723","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Grass","Low","Poor",90,7,332141.82,369370.61,-5.958343,54.555387,"40",28
"30725","ParkTree","Oak","Quercus robur","Mature","Mature","Grass","Low","Poor",91,6,332123.99,369289.79,-5.958655,54.554666,"527",15
"30727","ParkTree","Oak","Quercus robur","Mature","Mature","Bare Ground","Normal","Poor",92,9,333239.31,379621.07,-5.936743,54.647121,"1341",27
"30735","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",95,7,332331.6,368568.94,-5.955772,54.548141,"1065",25
"30738","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Low","Poor",84,3,333162.9,379515.59,-5.937973,54.646194,"1066",26
"30739","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Normal","Poor",84,8,333168.22,379518.46,-5.93789,54.646218,"1067",18
"30740","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Bare Ground","Normal","Poor",75,6,332560.16,378640.28,-5.9477,54.638495,"1536",15
"30741","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Normal","Poor",71,6,332498.05,378656.39,-5.948654,54.638655,"1549",22
"30743","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Bare Ground","Normal","Poor",95,7,332727.28,378701.6,-5.945085,54.639001,"1411",23
"30744","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Bramble/Briars","Normal","Poor",72,13,332987.48,379536.69,-5.940679,54.646429,"1982",18
"30756","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Shrubs","Normal","Poor",86,6,333078.43,380691.45,-5.938747,54.656772,"3819",19
"30775","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Low","Poor",79,6,334737.44,372988.83,-5.916597,54.587185,"272",22
"30778","ParkTree","Willow","Salix (type)","Mature","Mature","Grass","Low","Poor",76,5,334711.15,372372.09,-5.917286,54.581656,"506",22
"30799","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Woodland","Low","Poor",67,10,330157.91,368203.71,-5.989501,54.545425,"2533",27
"30800","ParkTree","Oak","Quercus cerris","Fully Mature","Fully Mature","Grass","Low","Poor",100,11,333756.1,369912.82,-5.933164,54.559831,"1278",21
"30808","ParkTree","Sweet Chestnut","Castanea sativa","Fully Mature","Fully Mature","Woodland","Low","Poor",159,9,331737.55,368621.39,-5.964922,54.548767,"2061",24
"30809","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Low","Poor",108,7,332366.55,369077.41,-5.955004,54.552697,"350",24
"30813","ParkTree","Maple","Acer platanoides","Fully Mature","Fully Mature","Bare Ground","Low","Poor",103,13,332785.81,378946.58,-5.944069,54.641185,"1283",21
"30822","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",111,7,333874.41,372384.91,-5.930212,54.581993,"658",17
"30825","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",38,5,333836.32,372946.42,-5.930545,54.587044,"",15
"30827","StreetTree","Rowan","Sorbus aucuparia (type)","Semi-Mature","Semi Mature","Paved Brick Paviour","Normal","Poor",15,3,332621.46,372806.97,-5.949386,54.586111,"",5
"30838","StreetTree","Hornbeam","Carpinus betulus 'Frans Fontaine'","Semi-Mature","Semi Mature","Paved Brick Paviour","Normal","Poor",15,1,333013.55,372667.69,-5.943389,54.584758,"",4
"30841","StreetTree","Hornbeam","Carpinus betulus 'Fastigiata'","Juvenile","Select Standard","Paved Brick Paviour","Low","Poor",4,1,332181.38,371420.98,-5.956811,54.573784,"",4
