"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"8762","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Shrubs","Low","Poor",18,4,333812.7,376688.38,-5.929205,54.620642,"2276",0
"8774","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",39,3,330249.92,367798.7,-5.98826,54.541765,"2351",10
"8778","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",36,5,330244.46,367804.25,-5.988341,54.541816,"2355",12
"8779","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",37,5,330245.93,367803.1,-5.988319,54.541806,"2356",10
"8817","ParkTree","Maple","Acer platanoides","Mature","Mature","Shrubs","Low","Poor",90,12,330883.27,367954.89,-5.978411,54.543004,"609",24
"8824","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",91,5,330369.01,367579.8,-5.986518,54.539769,"1964",14
"8835","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Woodland","Low","Poor",59,8,330402.07,367536.98,-5.986026,54.539377,"1991",27
"8989","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",47,2,330064.96,368108.04,-5.990979,54.54459,"2564",25
"8997","ParkTree","Holly","Ilex aquifolium","Young Mature","Semi-Mature","Woodland","Low","Poor",36,5,330627.41,367417.05,-5.9826,54.538242,"106",10
"9066","ParkTree","Holly","Ilex aquifolium","Young Mature","Semi-Mature","Shrubs","Low","Poor",65,5,330479.98,367535.41,-5.984824,54.539342,"1868",7
"9081","ParkTree","Holly","Ilex aquifolium","Young Mature","Semi-Mature","Bare Ground","Low","Poor",49,5,330600.93,367636.75,-5.982911,54.540221,"329",12
"9083","ParkTree","Holly","Ilex aquifolium","Young","Juvenile/Young","Bare Ground","Low","Poor",25,5,330602.51,367639.64,-5.982886,54.540246,"334",10
"9084","ParkTree","Poplar","Populus nigra","Young Mature","Semi-Mature","Grass","Low","Poor",-50,4,336560.79,375251.85,-5.887362,54.607012,"689",16
"9137","ParkTree","Rowan","Sorbus aucuparia","Young","Juvenile/Young","Grass","Low","Poor",7,1,336290.54,375213.47,-5.891559,54.60674,"282",3
"9327","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",37,5,330587.37,368092.8,-5.982919,54.544319,"991",13
"9342","ParkTree","Cypress","Cupressus (type)","Young Mature","Semi-Mature","Grass","Low","Poor",57,3,330475.37,367539.39,-5.984893,54.539379,"1867",15
"9361","ParkTree","Sweet Chestnut","Castanea sativa","Mature","Mature","Grass","Low","Poor",91,4,330763.1,367761.95,-5.980352,54.541303,"436",9
"9373","ParkTree","Irish Yew","Taxus baccata ""Fastigiata""","Young Mature","Semi-Mature","Shrubs","Low","Poor",45,5,330757.96,367677.49,-5.980469,54.540546,"235",5
"9374","ParkTree","Cherry","Prunus 'Amanogawa'","Young","Juvenile/Young","Shrubs","Low","Poor",20,7,330761.69,367671.13,-5.980414,54.540488,"238",9
"9376","ParkTree","Maple","Acer campestre","Young","Juvenile/Young","Shrubs","Low","Poor",32,7,330764.38,367675.26,-5.980371,54.540525,"240",12
"9435","ParkTree","Alder","Alnus incana","Young","Juvenile/Young","Bare Ground","Low","Poor",15,2,336940.19,373078.92,-5.882507,54.587403,"428",17
"9439","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",31,5,333377.14,376507.18,-5.936026,54.61913,"97",11
"9486","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Normal","Poor",13,1,336367.52,374269.66,-5.890806,54.598247,"135",8
"9487","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Normal","Poor",11,1,336358.41,374250.78,-5.890956,54.59808,"131",8
"9507","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",47,5,330583.68,368075.39,-5.982984,54.544163,"996",11
"9516","ParkTree","Lime","Tilla platyphyllos","Young Mature","Semi-Mature","Woodland","Low","Poor",42,5,330619.84,368062.11,-5.982431,54.544035,"1006",12
"9520","ParkTree","Rowan","Sorbus aucuparia","Young Mature","Semi-Mature","Woodland","Low","Poor",38,4,330648.19,368056.49,-5.981996,54.543977,"1010",9
"9526","ParkTree","Not Known","Not known","Young","Juvenile/Young","Shrubs","Low","Poor",16,2,330768.97,367670.15,-5.980302,54.540478,"160",3
"9627","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",40,3,329951.09,368206,-5.992694,54.545498,"2989",15
"9680","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",57,3,330704.85,375567.5,-5.977784,54.611392,"244",15
"9686","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",66,4,330740.78,375596.17,-5.977215,54.61164,"250",13
"9687","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",50,2,330748.54,375597.73,-5.977095,54.611652,"251",14
"9791","ParkTree","Birch","Betula jacquemontii","Young","Juvenile/Young","Grass","Low","Poor",16,2,336024.98,374559.72,-5.895968,54.600943,"142",8
"9796","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",11,1,335989.24,374571.69,-5.896515,54.60106,"148",7
"9797","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",11,1,335979.16,374575.4,-5.896669,54.601096,"149",7
"9798","ParkTree","Rowan","Sorbus aria","Young","Juvenile/Young","Grass","Low","Poor",18,1,335973.61,374578.28,-5.896754,54.601123,"150",7
"9806","ParkTree","Rowan","Sorbus aria","Young","Juvenile/Young","Grass","Low","Poor",17,1,335982.5,374587.91,-5.896612,54.601207,"158",6
"9818","ParkTree","Beech","Fagus sylvatica","Young","Juvenile/Young","Grass","Low","Poor",29,4,330688.51,375818.79,-5.977925,54.613652,"351",13
"9879","ParkTree","Hazel","Corylus avellana","Young Mature","Semi-Mature","Woodland","Low","Poor",64,9,330567.99,367958.79,-5.983277,54.543121,"1088",5
"9915","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Woodland","Low","Poor",57,6,329959.53,368230.74,-5.992553,54.545718,"3006",14
"10012","StreetTree","Pear","Pyrus calleryana 'Chanticleer'","Juvenile","Extra Heavy Standard","Tarmac","Low","Poor",9,1,331226.67,373310.81,-5.970721,54.590998,"",7
"10126","ParkTree","Birch","Betula pubescens","Young","Juvenile/Young","Grass","Low","Poor",16,1,336478.39,374936.66,-5.888782,54.604204,"69",13
"10134","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Grass","Low","Poor",51,3,336447.9,374915.94,-5.889263,54.604027,"77",2
"10135","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Grass","Low","Poor",39,5,336441.31,374908.64,-5.889369,54.603963,"78",7
"10222","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",54,6,330431.53,375876.74,-5.981874,54.614239,"504",16
"10232","ParkTree","Alder","Alnus glutinosa","Mature","Mature","Woodland","Low","Poor",86,7,330403.83,375879.19,-5.982301,54.614268,"516",14
"10233","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",41,5,330404.56,375881.68,-5.982289,54.61429,"517",13
"10234","ParkTree","Beech","Fagus sylvatica","Young","Juvenile/Young","Grass","Low","Poor",35,4,336440.6,374900.87,-5.889383,54.603893,"79",7
"10235","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Grass","Low","Poor",38,4,336440.13,374895.93,-5.889393,54.603849,"80",7
"10239","ParkTree","Beech","Fagus sylvatica","Young","Juvenile/Young","Grass","Low","Poor",24,3,336431.6,374850.79,-5.889546,54.603446,"84",8
"10247","ParkTree","Rowan","Sorbus aucuparia","Young","Juvenile/Young","Grass","Low","Poor",15,1,336528.7,374371.4,-5.888267,54.599117,"96",6
"10263","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",52,3,330723.25,375574.4,-5.977496,54.61145,"108",9
"10278","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","Grass","Low","Poor",24,3,338526.01,375094.69,-5.857045,54.605066,"544",11
"10288","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Shrubs","Low","Poor",91,9,329889.74,368297.65,-5.993601,54.546337,"",24
"10298","ParkTree","Oak","Quercus robur","Young","Juvenile/Young","Bare Ground","Low","Poor",18,7,329858.39,368294.68,-5.994087,54.546318,"3045",2
"10330","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",69,6,330708.76,375545.82,-5.977733,54.611197,"105",12
"10333","ParkTree","Maple","Acer platanoides 'Crimson King'","Young","Juvenile/Young","Grass","Low","Poor",28,4,330712.6,375533.62,-5.977679,54.611086,"101",12
"10360","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","Grass","Low","Poor",16,1,338508.03,375131.07,-5.857306,54.605398,"552",7
"10382","ParkTree","Beech","Fagus sylvatica","Young","Juvenile/Young","Grass","Low","Poor",19,4,329880.83,368226.13,-5.99377,54.545697,"3058",9
"10385","ParkTree","Elder","Sambucus nigra","Young","Juvenile/Young","Bare Ground","Low","Poor",25,5,330606.2,367152.98,-5.983044,54.535877,"3062",6
"10407","ParkTree","Redwood","Sequoiadendron giganteum","Young Mature","Semi-Mature","Woodland","Low","Poor",39,3,330553.17,375633.31,-5.980101,54.612022,"619",25
"10437","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Grass","Low","Poor",36,4,330778.92,375679.1,-5.976588,54.612375,"396",14
"10469","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",42,6,330554.83,375552.23,-5.980111,54.611294,"979",14
"10526","ParkTree","Elm","Ulmus procera","Young","Juvenile/Young","Grass","Low","Poor",30,1,330142.05,377611.06,-5.985582,54.629883,"17",9
"10563","ParkTree","Hawthorn","Crataegus monogyna","Young","Juvenile/Young","Bare Ground","Low","Poor",25,2,330595.01,367163.33,-5.983213,54.535972,"3070",3
"10630","ParkTree","Hawthorn","Crataegus monogyna","Young","Juvenile/Young","Bare Ground","Low","Poor",23,3,330590.09,367167.91,-5.983287,54.536015,"3073",5
"10631","ParkTree","Hawthorn","Crataegus monogyna","Young","Juvenile/Young","Bare Ground","Low","Poor",25,3,330589.48,367168.44,-5.983296,54.53602,"3074",9
"10635","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","Bare Ground","Low","Poor",24,5,330565.42,367189.49,-5.983658,54.536215,"",7
"10637","ParkTree","Hawthorn","Crataegus monogyna","Young","Juvenile/Young","Bare Ground","Low","Poor",21,6,330558.68,367192.44,-5.983761,54.536243,"3096",4
"10684","ParkTree","Cherry","Prunus cerasifera 'Nigra'","Young Mature","Semi-Mature","Woodland","Low","Poor",46,3,330472.89,375704.55,-5.981311,54.612683,"660",8
"10687","ParkTree","Irish Yew","Taxus baccata ""Fastigiata""","Young Mature","Semi-Mature","Grass","Low","Poor",65,2,330497.52,375734.58,-5.980916,54.612946,"666",9
"10695","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",46,4,330538.88,375775.65,-5.980258,54.613304,"432",13
"10710","ParkTree","Oak","Quercus robur","Young","Juvenile/Young","Bare Ground","Low","Poor",16,4,336617.57,375033.4,-5.886585,54.605035,"1",3
"10711","ParkTree","Birch","Betula pubescens","Young","Juvenile/Young","Bare Ground","Low","Poor",24,3,336615.03,375031.71,-5.886625,54.605021,"2",12
"10717","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",26,4,336567.62,374945.95,-5.887398,54.604264,"9",10
"10718","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",27,4,336571.75,374953.47,-5.887331,54.60433,"8",10
"10724","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",24,4,336554.92,374908.78,-5.887612,54.603934,"15",11
"10726","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",23,4,336550.86,374894.89,-5.887681,54.60381,"17",11
"10727","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",20,4,336549.67,374890.15,-5.887702,54.603768,"18",11
"10732","ParkTree","Lime","Tilla cordata","Mature","Mature","Woodland","Low","Poor",90,4,329902.74,368158.36,-5.993462,54.545083,"2852",23
"10783","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",41,10,330452.28,375839.65,-5.981569,54.613901,"464",16
"10805","ParkTree","Oak","Quercus robur","Mature","Mature","Grass","Low","Poor",71,7,330902.11,375406.16,-5.974805,54.609893,"58",15
"10846","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",75,7,330291.85,377719.53,-5.983216,54.630819,"59",27
"10883","ParkTree","Willow","Salix caprea","Young Mature","Semi-Mature","Grass","Low","Poor",48,6,330153.8,375927.31,-5.986147,54.614765,"565",12
"10903","ParkTree","Rowan","Sorbus aria","Young","Juvenile/Young","Grass","Low","Poor",-26,4,330869.85,375656.36,-5.975192,54.612147,"205",8
"10911","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Grass","Low","Poor",39,5,330871.92,375602.27,-5.975184,54.611661,"214",9
"10914","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",50,4,330852.56,375637.68,-5.975468,54.611984,"221",9
"11014","ParkTree","Cypress","Cupressus (type)","Young Mature","Semi-Mature","Woodland","Low","Poor",49,3,330044.23,367957.72,-5.991365,54.543246,"2746",21
"11150","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",19,4,336547.56,374816.84,-5.887769,54.60311,"24",10
"11155","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",22,4,336554.16,374766.3,-5.88769,54.602655,"30",9
"11156","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",15,3,336555,374759.96,-5.88768,54.602598,"31",7
"11160","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",17,4,336558.82,374730.66,-5.887634,54.602334,"35",9
"11162","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",19,4,336560.25,374719.74,-5.887617,54.602235,"37",9
"11163","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",15,3,336560.76,374712.29,-5.887613,54.602168,"38",7
"11166","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",21,3,336562.2,374695.95,-5.887598,54.602021,"41",9
"11167","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",20,3,336563.13,374676.9,-5.887593,54.60185,"44",9
"11168","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",17,3,336563.64,374670.73,-5.887588,54.601794,"45",7
"11314","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Grass","Low","Poor",20,4,336565.93,374630.42,-5.887571,54.601432,"52",9
"11343","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",54,4,330102.02,377675.12,-5.986173,54.630469,"75",15
"11349","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",44,5,330164.37,377655.04,-5.985217,54.630273,"85",16
"11436","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Woodland","Low","Poor",45,7,330438.61,375880.75,-5.981763,54.614273,"501",18
"11460","StreetTree","Lime","Tilla x europaea","","N/A","Tarmac","Low","Poor",-1,3,334421.42,370943.21,-5.922416,54.568905,"",-1
"11602","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Bare Ground","Low","Poor",49,3,332127.12,369080.32,-5.9587,54.552785,"481",8
"11670","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Shrubs","Low","Poor",66,3,338918.4,375013.81,-5.851016,54.604233,"10",5
"11941","ParkTree","Willow","Salix babylonica","Young","Juvenile/Young","Grass","Low","Poor",19,2,338405.32,376034.32,-5.858469,54.613534,"9",8
"11962","ParkTree","N/A","N/A","Young Mature","Semi-Mature","Woodland","Low","Poor",43,6,338507.36,375018.53,-5.85737,54.604388,"410",13
"12237","StreetTree","Lime","Tilla x europaea","","N/A","Tarmac","Low","Poor",-54,5,334913.29,371299.34,-5.914654,54.571972,"",0
"12241","ParkTree","Maple","Acer platanoides","Young","Juvenile/Young","Woodland","Low","Poor",26,4,338533.07,374827.51,-5.857062,54.602666,"429",9
"12244","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Woodland","Low","Poor",63,10,330376.03,375812.22,-5.982761,54.613674,"762",20
"12397","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","Shrubs","Low","Poor",24,2,331222.37,374306.41,-5.970343,54.599937,"21",9
"12432","StreetTree","Pear","Pyrus calleryana 'Chanticleer'","Juvenile","Heavy Standard","Tarmac","Low","Poor",7,1,331825.96,373487.79,-5.961377,54.592431,"0",3
"12500","StreetTree","Cherry","Prunus (type)","Young Mature","Semi-Mature","Tarmac","Low","Poor",25,3,337802.91,375349.99,-5.868107,54.607556,"0",0
"12529","StreetTree","Hazel","Corylus colurna","Juvenile","Extra Heavy Standard","Tarmac","Normal","Poor",-9,2,331954.78,373320.1,-5.959461,54.590892,"0",0
"12547","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Woodland","Low","Poor",41,5,330348.29,375853.86,-5.983172,54.614055,"884",17
"12554","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",37,5,330303.05,375809.63,-5.983891,54.61367,"805",19
"12591","ParkTree","Hornbeam","Carpinus betulus 'Fastigiata'","Young","Juvenile/Young","Grass","Low","Poor",26,2,338512.72,374928.46,-5.857329,54.603578,"465",12
"12645","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Woodland","Low","Poor",80,6,330403.16,375850.13,-5.982324,54.614008,"824",15
"12672","ParkTree","Plane","Platanus x acerifolia","Young","Juvenile/Young","Tarmac","Low","Poor",28,5,331165.39,374251.6,-5.971248,54.59946,"40",14
"12685","ParkTree","Mixed","Mixed broadleaf","Young","Juvenile/Young","Woodland","Low","Poor",29,5,331205.24,374281.65,-5.970619,54.599719,"10",15
"12686","ParkTree","Birch","Betula pendula","Young","Juvenile/Young","Shrubs","Low","Poor",23,4,331195.14,374269.57,-5.97078,54.599613,"11",9
"12696","ParkTree","Oak","Quercus robur","Mature","Mature","Shrubs","Low","Poor",76,5,332126.96,369044.35,-5.958719,54.552462,"714",12
"12728","StreetTree","Elm","Ulmus 'New Horizon'","Juvenile","Extra Heavy Standard","Tarmac","Low","Poor",8,1,332484.78,375486.3,-5.950291,54.6102,"0",4
"12770","StreetTree","Cherry","Prunus (type)","Young Mature","Semi-Mature","Tarmac","Low","Poor",17,2,337765.84,375290.37,-5.868708,54.607031,"0",0
"12777","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",61,7,330294.54,375845.31,-5.984007,54.613992,"901",12
"12785","ParkTree","Holly","Ilex aquifolium","Young Mature","Semi-Mature","Woodland","Low","Poor",45,3,330266.33,375830.48,-5.98445,54.613866,"910",9
"12828","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Shrubs","Low","Poor",52,4,333026.34,380734.65,-5.939534,54.657174,"3831",22
"12876","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",115,8,332288.85,369236.38,-5.956132,54.554144,"187",9
"12880","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",45,4,332317.67,369199.92,-5.955704,54.553809,"191",16
"12998","ParkTree","Larch","Larix decidua","Young Mature","Semi-Mature","Woodland","Low","Poor",40,5,332216.02,368915.37,-5.957401,54.551281,"781",10
"13006","ParkTree","Rowan","Sorbus 'Joseph Rock'","","N/A","Grass","Low","Poor",-13,2,330674.21,367802.36,-5.981707,54.541689,"1310",3
"13112","ParkTree","Alder","Alnus glutinosa","Fully Mature","Fully Mature","Woodland","Low","Poor",110,4,331900.39,368712.84,-5.962367,54.549545,"1794",11
"13132","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",53,4,332064.09,369103.54,-5.959663,54.55301,"576",8
"13164","ParkTree","Alder","Alnus glutinosa","Fully Mature","Fully Mature","Woodland","Low","Poor",115,4,331899.59,368709.26,-5.962381,54.549513,"1795",11
"13165","ParkTree","Willow","Salix (type)","Fully Mature","Fully Mature","Woodland","Low","Poor",130,11,331896.12,368699.6,-5.962438,54.549427,"1796",13
"13212","ParkTree","Maple","Acer platanoides","Young Mature","Semi-Mature","Woodland","Low","Poor",56,6,332396.22,368889.65,-5.95463,54.551003,"896",16
"13216","StreetTree","Rowan","Sorbus aria (type)","Young Mature","Semi-Mature","Tarmac","Normal","Poor",-11,1,333573.4,375667.01,-5.933372,54.611536,"0",0
"13243","StreetTree","Rowan","Sorbus aucuparia (type)","Juvenile","Extra Heavy Standard","Tarmac","Normal","Poor",-9,2,332551.59,376641.19,-5.948736,54.620551,"0",0
"13320","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","Grass","Low","Poor",16,2,331929.49,369121.69,-5.961734,54.553208,"620",7
"13367","ParkTree","Rowan","Sorbus 'Joseph Rock'","","N/A","Grass","Low","Poor",-10,1,330667.07,367801.56,-5.981817,54.541684,"1311",3
"13369","ParkTree","Rowan","Sorbus aucuparia","","N/A","Grass","Low","Poor",-35,5,330646.24,367812.88,-5.982134,54.54179,"1315",9
"13383","ParkTree","Cherry","Prunus 'Amanogawa'","Young Mature","Semi-Mature","Shrubs","Normal","Poor",56,9,332968.17,380802.16,-5.940404,54.657795,"3840",7
"13385","ParkTree","Cherry","Prunus (type)","Young Mature","Semi-Mature","Grass","Normal","Poor",60,6,332975.59,380807,-5.940286,54.657836,"3842",5
"13386","ParkTree","Cherry","Prunus (type)","Young","Juvenile/Young","Grass","Low","Poor",17,3,332969.85,380806.55,-5.940376,54.657834,"3841",4
"13427","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",42,3,331978.94,369314.03,-5.960884,54.554922,"22",5
"13430","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",63,2,332014.88,369326.95,-5.960323,54.555028,"26",9
"13448","ParkTree","Lime","Tilla cordata","Mature","Mature","Woodland","Low","Poor",90,4,332235.4,369231.03,-5.95696,54.55411,"153",14
"13452","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",46,4,332211.3,369222.95,-5.957336,54.554044,"157",15
"13547","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",42,4,334656.32,372028.5,-5.91829,54.578586,"",-1
"13634","ParkTree","Hawthorn","Crataegus monogyna","Young Mature","Semi-Mature","Woodland","Low","Poor",63,4,331325.75,368555.36,-5.971311,54.548281,"2419",10
"13637","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",70,5,331740.14,368505.39,-5.964934,54.547725,"2034",10
"13654","ParkTree","Fir","Abies grandis","Young Mature","Semi-Mature","Woodland","Low","Poor",53,2,331575.74,368480.48,-5.967484,54.547544,"2129",14
"13711","ParkTree","Elm","Ulmus procera","Young Mature","Semi-Mature","Woodland","Low","Poor",49,3,331615.42,368421.4,-5.966898,54.547003,"2300",19
"13775","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Woodland","Low","Poor",60,5,332009.74,368843.26,-5.960619,54.550688,"1480",9
"13854","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",48,2,331735.14,368515.06,-5.965007,54.547813,"2038",5
"13855","ParkTree","Alder","Alnus glutinosa","Mature","Mature","Woodland","Low","Poor",90,2,331735.96,368518.94,-5.964993,54.547847,"2039",5
"13864","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",36,2,331750.98,368517.79,-5.964761,54.547833,"2050",11
"13865","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",44,2,331750.98,368518.79,-5.964761,54.547842,"2051",11
"13892","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",75,3,331793.69,368805.48,-5.963973,54.550405,"1624",16
"13972","ParkTree","Willow","Salix (type)","Mature","Mature","Woodland","Low","Poor",80,6,331971.94,368703.11,-5.961266,54.549439,"1764",13
"14073","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",51,6,332236.85,368591.51,-5.957225,54.548368,"1088",8
"14112","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",36,3,331513.28,368467.75,-5.968454,54.547445,"2327",7
"14115","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",52,2,331568.04,368456.65,-5.967614,54.547332,"2330",14
"14140","ParkTree","Alder","Alnus glutinosa","Fully Mature","Fully Mature","Woodland","Low","Poor",120,6,331787.62,368548.43,-5.964182,54.548099,"1951",13
"14156","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Woodland","Low","Poor",49,3,331949.84,368803.46,-5.961562,54.550346,"1515",12
"14218","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",38,2,331677.3,368514.97,-5.9659,54.547827,"2103",20
"14219","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",39,2,331673.49,368513.22,-5.96596,54.547812,"2104",13
"14220","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",40,2,331669.38,368511.82,-5.966024,54.547801,"2105",11
"14221","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",39,2,331666.17,368510.29,-5.966074,54.547788,"2106",11
"14294","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Woodland","Low","Poor",95,4,332033.06,368762.01,-5.960296,54.549952,"1381",16
"14355","ParkTree","Alder","Alnus glutinosa","Mature","Mature","Woodland","Low","Poor",80,2,332020.29,368661.79,-5.960538,54.549056,"1973",7
"14364","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",52,4,331777.35,368526.81,-5.96435,54.547907,"1984",11
"14365","ParkTree","Alder","Alnus glutinosa","Mature","Mature","Woodland","Low","Poor",80,2,331771.56,368524.67,-5.96444,54.547889,"1985",10
"14434","ParkTree","Oak","Quercus robur","Mature","Mature","Woodland","Low","Poor",75,2,331785.05,368761.16,-5.964126,54.550009,"1687",11
"14444","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",40,2,331589.61,368484.29,-5.967268,54.547574,"2126",10
"14448","ParkTree","Fir","Abies grandis","Young Mature","Semi-Mature","Woodland","Low","Poor",43,2,331554.85,368473.77,-5.96781,54.547489,"2142",13
